[*] Đọc collection: C:\Users\Lenovo\Downloads\FileTaiLieuHK8\DoAnKySu\Web3-GiangVien\Document\Day13-06-2026\..\Day03-06-2026\PhoBERT_100Cases_Collection.json
[*] Tổng số test cases: 100
  [ 38/100] Ca 38 - 18-bao-cao-bai-tap-lon-mon-iot-he-thong-thung-rac-tu-dong-su..... score= 8.00 | True Positive (TP)   |   14585ms
  [ 39/100] Ca 39 - 19-he-thong-aiot-quan-trac-va-du-bao-chat-luong-khong-khi-th..... score= 7.00 | True Positive (TP)   |   11412ms
  [ 40/100] Ca 40 - 20-do-an-tot-nghiep-thiet-ke-he-thong-nha-thong-minh-dieu-kh..... score= 7.00 | True Positive (TP)   |   11242ms
  [ 41/100] Ca 41 - 21-mgt496-n4-tieu-luan-nhom-vong-tay-du-bao-dong-kinh-cap-cu..... score= 9.00 | False Positive (FP)  |   12559ms
  [ 42/100] Ca 42 - 22-de-tai-tieu-luan-mon-y-tuong-khoi-nghiep-ung-dung-gia-su-..... score= 7.67 | False Positive (FP)  |   11562ms
  [ 43/100] Ca 43 - 23-do-an-tot-nghiep-xay-dung-website-chia-se-cong-thuc-nau-a..... score= 9.00 | True Positive (TP)   |   15968ms
  [ 44/100] Ca 44 - 24-do-an-quan-ly-phong-kham-da-khoa-22dthqb03.pdf... (MATCH)... score= 9.00 | True Positive (TP)   |   11571ms
  [ 45/100] Ca 45 - 25-bai-tap-nhom-nghien-cuu-thi-truong-phan-mem-quan-ly-kho-w..... score= 6.33 | False Positive (FP)  |   12542ms
  [ 46/100] Ca 46 - 26-do-an-mon-hoc-lap-trinh-thiet-bi-di-dong-ung-dung-hoc-tie..... score= 8.00 | True Positive (TP)   |   12058ms
  [ 47/100] Ca 47 - 27-bao-cao-quan-tri-du-an-cntt-he-thong-thu-vien-dien-tu.pdf..... score= 7.62 | False Positive (FP)  |   14038ms
  [ 48/100] Ca 48 - 28-nghien-cuu-ve-giam-sat-thi-truc-tuyen-tac-dong-den-quyen-..... score= 5.00 | True Negative (TN)   |   15941ms
  [ 49/100] Ca 49 - 29-bao-cao-du-an-to-chuc-su-kien-nho-nhom-sinh-vien.pdf... (MI... score= 7.61 | False Positive (FP)  |   12072ms
  [ 50/100] Ca 50 - 30-tieu-luan-nhom-31-nghien-cuu-cicd-cho-trien-khai-dich-vu-..... score= 8.00 | True Positive (TP)   |   10597ms
  [ 51/100] Ca 51 - 31-bao-cao-thuc-tap-doanh-nghiep-giam-sat-he-thong-bang-prom..... score= 7.97 | True Positive (TP)   |   15140ms
  [ 52/100] Ca 52 - 32-bao-cao-tieu-luan-mon-dien-toan-dam-may-nhom-16-ung-dung-..... score= 7.93 | True Positive (TP)   |   16426ms
  [ 53/100] Ca 53 - 33-do-an-tot-nghiep-k63-nghien-cuu-kien-truc-microservice-vo..... score= 7.49 | True Positive (TP)   |   12052ms
  [ 54/100] Ca 54 - 34-de-tai-do-an-tot-nghiep-he-thong-phat-hien-xam-nhap-mang-..... score= 8.00 | True Positive (TP)   |    6364ms
  [ 55/100] Ca 55 - 35-btl-n3-tim-hieu-10-lo-hong-owasp-cho-bai-tap-lon-co-so-an..... score= 8.00 | True Positive (TP)   |   10875ms
  [ 56/100] Ca 56 - 36-bao-cao-chuyen-de-co-so-ve-phat-hien-ma-doc-dua-tren-sieu..... score= 6.80 | True Positive (TP)   |   13392ms
  [ 57/100] Ca 57 - 37-do-an-tot-nghiep-he-thong-nhan-dien-va-dem-phuong-tien-gi..... score= 8.00 | True Positive (TP)   |    9453ms
  [ 58/100] Ca 58 - 38-bao-cao-cuoi-ky-impr432446-nhan-dien-cu-chi-tay-va-ung-du..... score= 8.90 | True Positive (TP)   |   13430ms
  [ 59/100] Ca 59 - 39-thiet-ke-game-rpg-2d-bang-unity-tieu-luan-mon-lap-trinh-g..... score= 9.00 | True Positive (TP)   |   11804ms
  [ 60/100] Ca 60 - 40-khoa-luan-tot-nghiep-thiet-ke-va-xay-dung-game-2d-1121091..... score= 8.92 | True Positive (TP)   |   11636ms
  [ 61/100] Ca 61 - 41-nghien-cuu-du-doan-khach-hang-roi-bo-dich-vu-vien-thong-k..... score= 7.67 | True Positive (TP)   |   11821ms
  [ 62/100] Ca 62 - 42-bao-cao-de-tai-nghien-cuu-phat-hien-tin-gia-fake-news-det..... score= 8.90 | True Positive (TP)   |   12696ms
  [ 63/100] Ca 63 - 43-bao-cao-do-an-i-phan-loai-dong-tac-tap-gym-su-dung-mediap..... score= 9.00 | True Positive (TP)   |   12591ms
  [ 64/100] Ca 64 - 44-b2012144-xay-dung-website-thuong-mai-dien-tu-tich-hop-ai-..... score= 9.00 | True Positive (TP)   |   12313ms
  [ 65/100] Ca 65 - 45-crm-ht-bai-toan-phan-nhom-khach-hang-tai-sieu-thi-coopext..... score= 5.00 | True Negative (TN)   |   22271ms
  [ 66/100] Ca 66 - 46-de-tai-xay-dung-he-thong-tro-ly-ao-tu-van-phap-luat-viet-..... score= 8.98 | True Positive (TP)   |   14359ms
  [ 67/100] Ca 67 - 47-bao-cao-do-an-thiet-ke-mo-hinh-cnn-nhan-dien-tai-xe-ngu-g..... score= 8.97 | True Positive (TP)   |   12510ms
  [ 68/100] Ca 68 - 48-tieu-luan-giua-ky-243to3501-phan-tich-chuoi-thoi-gian-du-..... score= 7.85 | False Positive (FP)  |   12028ms
  [ 69/100] Ca 69 - 49-bao-cao-bai-tap-lon-mo-hinh-dich-may-anh-viet-cse703014.p..... score= 8.00 | True Positive (TP)   |   12288ms
  [ 70/100] Ca 70 - 50-tieu-luan-dat723-241-1-d-ung-dung-hop-dong-thong-minh-tro..... score= 7.64 | False Positive (FP)  |   11883ms
  [ 71/100] Ca 71 - 51-do-an-tot-nghiep-xay-dung-mang-xa-hoi-chia-se-kien-thuc-s..... score= 8.76 | True Positive (TP)   |   14666ms
